Gene	Category	DAN	pDNA
ABCB4	Other	-0.0346072364393877	-0.0804338510089864
ABCB5	Other	0.967887527238416	1.01922030473234
ABCB6	Other	0.156402868721442	-0.0197624641370769
ABCB7	Other	-1.184838293728	-0.359750511186967
ABCB8	Other	0.0367122724317662	-0.12331136100467
ABCB9	Other	0.378154306136733	0.426334706274096
ABCC1	Other	0.551587822336527	0.496655965222447
ABCC10	Other	0.123775567990035	0.0347219769861551
ABCC11	Other	0.12918982173155	-0.180913411593581
ABCC12	Other	0.881107529332103	0.672906621269267
ABCC2	Other	0.898754828686197	0.827196693936733
ABCC3	Other	0.674641938070279	0.761829200112846
ABCC4	Other	-0.0275556790049999	-0.26152422888087
ABCC5	Other	0.406741539425425	0.0982040828354405
ABCC6	Other	-1.15040758271597	-0.777233585889064
ABCC8	Other	0.266969520475624	0.0888809986965075
ABCC9	Other	0.448059088998103	1.00734668324245
ABCD1	Other	-0.607874250359941	-0.486900293639597
ABCD2	Other	0.348136479847023	0.290449001979593
ABCD3	Other	-0.248843702552501	-0.238773550825497
ABCD4	Other	0.234683532628425	0.238102247510007
ABCE1	Other	0.0552965943381585	0.740541086869427
ABCF1	Other	-0.584221954569284	-0.0596838914587074
ABCF2	Other	0.348175081739596	0.252961249586772
ABCF3	Other	0.11145830298273	-0.0331237604179421
ABCG1	Other	0.457096249759929	0.588649956886566
ABCG2	Other	0.380083489127794	0.108852853235066
ABCG4	Other	0.645228689841817	0.616127799302119
ABCG5	Other	0.299245084392053	0.223418505701422
ABCG8	Nonessential	0.151536228578825	0.172675712346233
ABHD1	Other	0.106227836338923	-0.00951081290272284
ABHD10	Other	-0.0957396770233624	-0.0408698211536554
ABHD11	Other	-0.661881658699467	-0.297362574304616
ABHD12	Other	0.219674742627508	0.199005215649755
ABHD12B	Other	-0.361329412828311	-0.290176143648844
ABHD13	Other	0.497002453789249	0.761433957956539
ABHD14A	Other	0.415508533351397	0.357992218409289
ABHD14B	Other	-0.329531916490397	-0.426648203081421
ABHD15	Other	-0.86116293980239	-0.798678707113099
ABHD16A	Other	0.310178051140148	0.380954748876605
ABHD16B	Other	-0.0630682386578541	-0.141932291603971
ABHD17A	Other	-0.275061088356367	0.0453730693450425
ABHD17B	Other	0.907213145427403	0.76440763732341
ABHD17C	Other	-0.0516197465984082	-0.245719847654282
ABHD2	Other	-0.09108695993914	-0.0159361441208919
ABHD3	Other	0.726246903935953	0.699198204431798
ABHD4	Other	0.510029489224156	0.42949505670376
ABHD5	Other	1.67937015801849	1.56387577268308
ABHD6	Other	1.19021253055108	1.06461295218682
ABHD8	Other	-0.213563297038383	-0.202138625503304
ABI1	Other	-0.147214801166201	0.336368821954689
ABI2	Other	0.630939435368788	0.45769529293978
ABI3	Other	0.108654047721575	0.12253383130412
ABI3BP	Other	0.158204911156636	-0.0256329272081412
ABL1	Other	-0.411435991582096	-0.482965357664047
ABL2	Other	1.01573621309977	0.739495507040836
ABLIM1	Other	-0.106452427571242	-0.139621146234283
ABLIM2	Other	-0.144950958907146	-0.308151366874151
ABLIM3	Other	0.571326141897851	0.39567633090297
ABR	Other	-0.389324334549968	-0.496121244237158
ABRA	Other	-0.421724926268416	-0.542766681494729
ABRACL	Other	0.53382590117177	0.305833651534918
ABT1	Other	-0.578226034358772	-0.0974229432916941
ABTB1	Other	0.406954258927483	0.252746273563549
ABTB2	Other	-0.125401934810812	-0.323123900321434
ACAA1	Other	-0.340087473394591	-0.547921305801843
ACAA2	Other	1.04191453098286	1.01930346382728
ACACA	Other	-0.273562561890379	-0.166462429391509
ACACB	Other	1.26343911750515	1.23447551197668
ACAD10	Other	0.0607940669782428	-0.104865385649489
ACAD11	Other	0.517909189966673	0.551303795211389
ACAD8	Other	0.539790198791506	0.283815163992702
ACAD9	Other	-0.205857202741081	-0.100126389892595
ACADL	Other	0.122406435689663	-0.0724856688328387
ACADM	Other	0.186250018426923	0.155558040737884
ACADS	Other	0.272911348782149	0.164697224622315
ACADSB	Other	0.4806198144494	0.555681287591709
ACADVL	Other	0.275951649320522	0.154249715324465
ACAN	Other	0.0528666855302795	-0.0137192490920902
ACAP1	Other	0.0338585386347501	0.135416280083716
ACAP2	Other	0.236163889964714	0.227878004655266
ACAP3	Other	0.809372571638032	0.664888373118494
ACAT1	Other	0.920505578736807	0.599382755989889
ACAT2	Other	0.878017400710677	0.51170421367645
ACBD3	Other	-0.124390593868235	-0.15981442834966
ACBD4	Other	0.0156189341688036	0.07473209163497
ACBD5	Other	-0.40628693747101	-0.363489793379423
ACBD6	Other	0.952261681278385	0.699132350998197
ACBD7	Other	0.611029294165843	0.536748441621399
ACCS	Other	0.174637541191998	-0.0799117088468517
ACCSL	Nonessential	0.0757052982382125	-0.01131184110127
ACD	Other	-0.350636636933507	-0.37895527233727
ACE	Other	-0.533259993119118	-0.316810507192493
ACE2	Other	0.575161325214376	0.493565857509543
ACER1	Other	0.530166611387605	0.416183393742705
ACER2	Other	0.0864620546646008	-0.0926377609841406
ACER3	Other	0.617959437347484	0.429697017528893
ACHE	Other	-0.767411483550576	-0.600800434499702
ACIN1	Other	-0.332218550464677	0.21884931641528
ACKR1	Other	0.631384544674007	0.528201256261232
ACKR2	Other	1.13079383221445	0.938206075901999
ACKR3	Other	0.490320448121772	0.27529222618024
ACKR4	Other	0.499275499652023	0.664210594978441
ACLY	Other	0.0895614467899959	-0.0959307483154559
ACMSD	Other	0.382770395149947	0.178586774420038
ACN9	Other	0.0116686176396434	-0.107867688891093
ACO1	Other	0.554305807146745	0.375201074892752
ACO2	Other	0.783810397205434	0.957454213421695
ACOT1	Other	-0.264109076756818	-0.464794928049663
ACOT11	Other	-0.200625497397988	-0.268551240571829
ACOT12	Other	0.0180601344457419	0.446393851065144
ACOT13	Other	-0.499954181073265	-0.651758283629787
ACOT2	Other	0.122192074911915	-0.00463161954801256
ACOT4	Other	-0.127317673638683	-0.0746038273792269
ACOT6	Other	0.134967089262339	0.248915395234673
ACOT7	Other	-0.0524235024461347	-0.261431125292707
ACOT8	Other	-0.433003065747246	-0.516617421105581
ACOT9	Other	0.480205429114802	0.285886983808245
ACOX1	Other	0.418195243829809	0.551972589927675
ACOX2	Other	-0.0656372423349511	-0.0264984027549708
ACOX3	Other	-0.130156668575804	-0.128868663253151
ACOXL	Other	0.35707526501082	0.45287155570244
ACP1	Other	0.00361234958741735	-0.420485198044717
ACP2	Other	-0.186344295961178	-0.296945416939816
ACP5	Other	1.29378979440084	1.13586169568645
ACP6	Other	0.801134001759451	0.819833287914584
ACPP	Other	-0.542219589994628	-0.655713206583265
ACPT	Other	-0.0317590254660919	-0.214007533746525
ACR	Other	0.906932824137753	0.734051770436923
ACRBP	Other	0.435902351106071	0.302103774801521
ACRC	Other	1.07928192618044	1.03855299362362
ACRV1	Other	1.15550396587148	0.970434745333119
