Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6
ABCA5	Other	0.0185424363037134	-0.0424587292408909	-0.0103889230544122	-0.0956562864603751
ABCA6	Other	0.0364891204626097	0.115347832239214	0.110644741115815	0.0748889221742643
ABCA7	Other	0.196400800579418	0.190232617941228	0.314242705060451	0.113082507885105
ABCA8	Other	0.046481163107971	0.101917650894825	-0.0436931273032724	0.0519173272991077
ABCA9	Other	0.135656604739313	0.107203554237143	0.17727976524616	0.230584989839736
ABCB1	Other	0.0359793146434025	0.0713806218787981	0.0289357409120877	-0.00842374074949381
ABCB10	Other	-0.184758267593829	-0.148214609240562	-0.234493204005228	-0.246452431183249
ABCB11	Other	0.0515544825299335	0.00223514769733207	0.0978153661550717	-0.107148183593424
ABCB4	Other	0.0272065788817008	0.0620598460312203	0.00158031474318654	0.0924597186222869
ABCB5	Other	-0.109642761371569	-0.0134934883292936	-0.0719086751290481	-0.0102861851457865
ABCB6	Other	0.0303285655752827	0.23467127361091	0.222532071396016	0.217129420851867
ABCB7	Other	-0.849618753909528	-0.946682371954093	-0.723388076860701	-0.78066192743982
ABCB8	Other	0.0640635031434814	0.15217859103389	0.159293295087902	0.264559144480471
ABCB9	Other	-0.0535349719511103	-0.105215812468531	-0.142052272535228	0.108081456405415
ABCC1	Other	0.0255553198861519	-0.0439951378450104	0.0861967780494084	0.151970468365772
ABCC10	Other	0.119642532938329	0.00577694183544963	0.151950626341526	0.0788442629002166
ABCC11	Other	0.36977831492967	0.24209993600653	0.261231489656624	0.367303192707697
ABCC12	Other	0.187258909164761	0.240195653212477	0.181811110937377	0.22353795893673
ABCC2	Other	0.143585469574095	0.0880612335949054	0.0285258862263403	0.0260599496025163
ABCC3	Other	-0.151164221359517	-0.101711525632515	-0.141322139942777	0.0454488387645408
ABCC4	Other	0.149095388843689	0.319343209563305	0.25600619714709	0.211429403949396
ABCC5	Other	0.284597411013608	0.440498148253568	0.206803836415012	0.302250430677747
ABCC6	Other	-0.15722109411577	-0.396827925690475	-0.50430010562871	-0.434346861872651
ABCC8	Other	0.240540324621228	-0.0113374786443064	0.216634502981471	0.266516738158075
ABCC9	Other	-0.502033530756509	-0.720366800966313	-0.504455358089909	-0.510294687164645
ABCD1	Other	-0.190025043577237	-0.151138028771843	0.0637735711033144	-0.206506325635609
ABCD2	Other	0.0526202973319229	0.12922681290889	0.111583626033914	-0.0626808248050061
ABCD3	Other	-0.0791403667159004	0.19366003599136	-0.0257442208315379	-0.129056055351934
ABCD4	Other	0.0678608696771549	-0.0428801221522301	-0.0549304399439278	0.0162748328926761
ABCE1	Other	-0.641599170281807	-0.737893092923851	-0.751865026660552	-0.609620680258863
ABCF1	Other	-0.299220872069921	-0.746997030526051	-0.532865391581491	-0.519068958264845
ABCF2	Other	0.240939525735075	0.0591791526100668	0.0398774393193874	0.0408592109467646
ABCF3	Other	0.199058954448124	0.110507869736712	0.103725163104272	0.165036266313579
ABCG1	Other	-0.0801139778849268	-0.149582613660102	-0.0458729187724592	-0.250645318189059
ABCG2	Other	0.326809283857462	0.230833070946377	0.325146602984398	0.202133585782677
ABCG4	Other	0.0644164700316706	0.117266127921122	-0.0922864881072367	0.0270074523132341
ABCG5	Other	-0.0257829695681694	-0.00198827175917046	0.248327316950792	0.0827502391390733
ABCG8	Nonessential	-0.0495358760163533	-0.043664376160338	0.0324733837427982	-0.0238310666357386
ABHD1	Other	0.10675252729491	0.142521101131514	0.104438068255976	0.109242900284185
ABHD10	Other	-0.0352052068802615	-0.0293299504784012	-0.159743382413116	0.00479911629295098
ABHD11	Other	-0.359796169415817	-0.397378242672882	-0.34050489311589	-0.360397032374814
ABHD12	Other	-0.051978933075135	-0.0313848472534828	0.0694501468823519	0.0965917413572802
ABHD12B	Other	-0.163458325329425	-0.114426719553839	-0.0544643595876384	0.0477363277530304
ABHD13	Other	-0.269843621025711	-0.176925858351596	-0.289366293002402	-0.321590244289449
ABHD14A	Other	-0.0414344717740331	0.0720941199316111	0.107426951747573	0.0919786598632808
ABHD14B	Other	0.0748025569429761	0.139088578965974	0.122307724441755	0.0522662860133908
ABHD15	Other	-0.228627168479909	-0.251617018136571	0.119566823052674	0.11074043280664
ABHD16A	Other	0.0807062083834748	-0.180428811492808	-0.0425145358363894	-0.140869652000105
ABHD16B	Other	-0.0559207926996994	-0.0123660339452297	0.198425722643079	0.185317315786317
ABHD17A	Other	-0.256468312304079	-0.33966722040572	-0.373874783493893	-0.311726314601944
ABHD17B	Other	0.185747197033564	0.192874146281056	0.0802783301600019	0.11232235894135
ABHD17C	Other	0.200075555433009	0.158461175541054	0.140545368252025	0.277318304997408
ABHD2	Other	-0.0774627035727399	-0.18053492873304	-0.033987025630216	-0.00861860533699664
ABHD3	Other	-0.0420266852249184	-0.0361220608456941	0.0470566466595009	0.139286897427731
ABHD4	Other	0.0335174578234354	0.0355666424444171	0.117729033471873	0.135324596341859
ABHD5	Other	0.125768925236326	0.151986494956481	0.154999895172588	0.029222225976238
ABHD6	Other	0.118741779299674	0.210261257892655	0.0690120806837045	0.104383195580974
ABHD8	Other	0.0897456410609215	-0.123116820182145	0.0212212655048735	-0.0335487725239645
ABI1	Other	-0.505264167474708	-0.585046314491262	-0.384397090777729	-0.459626919739859
ABI2	Other	0.140964686677095	0.0735355021095493	0.246312583068705	0.232163797860682
ABI3	Other	0.0613753804191488	-0.0677954189365532	0.0579787169391941	-0.107077812751973
ABI3BP	Other	0.266120201218434	0.053227353583643	0.18467138710592	0.231332411551113
