Gene	Category	DAN-G-311Cas9 Rep A p6	DAN-G-311Cas9 Rep B p6	DAN-G-311Cas9 Rep C p6	DAN-G-311Cas9 Rep D p6	pDNA_0	pDNA_2
ABCA12	Other	-0.330649803769131	-0.162177087486772	-0.196631578483857	-0.281689519195249	-0.30322707273139	-0.432978743037524
ABCA13	Other	0.571778588887257	0.557610723289895	0.540197055787218	0.559453966585934	0.533064349102807	0.529959074349731
ABCA2	Other	0.349799333577477	0.45779247017748	0.480003745637572	0.426062198550773	0.310170713104859	0.413600497341063
ABCA3	Other	0.481626363895017	0.408920811251619	0.499604362197159	0.457720759603304	0.318542164335826	0.324639038049665
ABCA4	Other	0.138886092268914	0.0948232226931016	0.253326818359254	0.122174025674252	0.11104057772142	0.0173722654596414
ABCA5	Other	0.135319876377973	0.0743187108333689	0.106388517019848	0.0211211536138846	0.182851187007053	0.0507036931414669
ABCA6	Other	0.123888343366334	0.202747055142938	0.198043964019539	0.162288145077988	0.0765936452943636	0.0982048005130847
ABCA7	Other	-0.249641748493836	-0.255809931132026	-0.131799844012803	-0.332960041188149	-0.490840180496331	-0.401244917650177
ABCA8	Other	-0.128084683359813	-0.072648195572959	-0.218258973771056	-0.122648519168676	-0.122697981260386	-0.226433711675183
ABCA9	Other	1.03641471660256	1.00796166610039	1.07803787710941	1.13134310170298	0.93047189533828	0.871044328388217
ABCB1	Other	0.568615902283896	0.604017209519291	0.561572328552581	0.524212846890999	0.554997951638337	0.510275223642649
ABCB10	Other	-0.767657317030188	-0.731113658676921	-0.817392253441588	-0.829351480619609	-0.465417190983852	-0.700380907888866
ABCB11	Other	0.527063063402433	0.477743728569832	0.573323947027571	0.368360397279076	0.452890102389599	0.4981270593554
ABCB4	Other	-0.0532272721272855	-0.0183740049777661	-0.0788535362657998	0.0120258676133005	-0.0625775634075259	-0.0982901386104468
ABCB5	Other	0.909577543360771	1.00572681640305	0.947311629603292	1.00893411958655	0.981255330362473	1.05718527910221
ABCB6	Other	0.0105661014382059	0.214908809473833	0.202769607258939	0.19736695671479	0.0161504830560419	-0.0556754113301956
ABCB7	Other	-1.20936926509649	-1.30643288314106	-1.08313858804767	-1.14041243862679	-0.379928007116566	-0.339573015257367
ABCB8	Other	-0.0592478578611884	0.0288672300292204	0.0359819340832318	0.141247783475801	-0.0958772798898385	-0.150745442119501
ABCB9	Other	0.372799734322986	0.321118893805566	0.284282433738868	0.534416162679511	0.401051889876509	0.451617522671683
ABCC1	Other	0.522211285108599	0.452660827377437	0.582852743271855	0.648626433588219	0.485918958889471	0.507392971555423
ABCC10	Other	0.154364509924484	0.0404989188216047	0.186672603327681	0.113566239886372	-0.00627757715017669	0.0757215311224869
ABCC11	Other	0.18886490333609	0.0611865244129495	0.0803180780630439	0.186389781114116	-0.128313410914963	-0.233513412272198
ABCC12	Other	0.860165530434028	0.913102274481744	0.854717732206644	0.896444580205997	0.71346250978593	0.632350732752604
ABCC2	Other	0.970782163510828	0.915257927531638	0.855722580163073	0.853256643539249	0.913652390075793	0.740740997797672
ABCC3	Other	0.610664978753329	0.660117674480331	0.620507060170069	0.807278038877387	0.674505471095275	0.849152929130417
ABCC4	Other	-0.112428840037181	0.0578189806824348	-0.00551803173377945	-0.0500948249314741	-0.185392027425857	-0.337656430335883
ABCC5	Other	0.382801493849049	0.538702231089009	0.305007919250453	0.400454513513188	0.0693249443959632	0.127083221274918
ABCC6	Other	-0.934454680004834	-1.17406151157954	-1.28153369151777	-1.21158044776171	-0.768631790512456	-0.785835381265671
ABCC8	Other	0.329421323317735	0.0775435200522011	0.305515501677978	0.355397736854582	0.122775375933336	0.0549866214596794
ABCC9	Other	0.505313152485938	0.286979882276134	0.502891325152538	0.497051996077803	0.934294484207324	1.08039888227757
ABCD1	Other	-0.676925337216835	-0.63803832241144	-0.423126722536283	-0.693406619275207	-0.480244476487145	-0.49355611079205
ABCD2	Other	0.343069299311515	0.419675814888482	0.402032628013506	0.227768177174586	0.314355720243245	0.26654228371594
ABCD3	Other	-0.317913917541398	-0.0451135148341377	-0.264517771657035	-0.367829606177432	-0.260041819030749	-0.217505282620245
ABCD4	Other	0.305963117187162	0.195222125357777	0.183171807566079	0.254377080402683	0.316564480185694	0.15964001483432
ABCE1	Other	0.0989419165876198	0.00264799394557571	-0.0113239397911256	0.130920406610564	0.739225508708954	0.7418566650299
ABCF1	Other	-0.358904763528628	-0.806680921984758	-0.592549283040198	-0.578752849723552	-0.0215568465745148	-0.0978109363429
ABCF2	Other	0.493900775321847	0.312140402196839	0.29283868890616	0.293820460533537	0.225267630903597	0.280654868269947
ABCF3	Other	0.165935194030182	0.0773841093187694	0.0706014026863303	0.131912505895637	0.00483602567204347	-0.0710835465079277
ABCG1	Other	0.508535979001639	0.439067343226465	0.542777038114107	0.338004638697507	0.607346698161768	0.569953215611364
ABCG2	Other	0.435662137092528	0.339685924181442	0.433999456219464	0.310986439017742	0.19029698834471	0.0274087181254217
ABCG4	Other	0.68054426933379	0.733393927223241	0.523841311194882	0.643135251615353	0.501164045838964	0.731091552765274
ABCG5	Other	0.197635536133252	0.221430233942251	0.471745822652214	0.306168744840495	0.176304572340776	0.270532439062068
ABCG8	Nonessential	0.12313983632988	0.129011336185895	0.205149096089031	0.148844645710495	0.0760561064548576	0.269295318237609
ABHD1	Other	0.0972417143921876	0.133010288228791	0.094927255353253	0.0997320873814621	0.0190003488089561	-0.0380219746144018
ABHD10	Other	-0.0760750280339169	-0.0701997716320566	-0.200613203566772	-0.0360707048607044	0.0047133583004407	-0.0864530006077515
ABHD11	Other	-0.657158743720433	-0.694740816977498	-0.637867467420507	-0.65775960667943	-0.353192401046025	-0.241532747563208
ABHD12	Other	0.14702628257462	0.167620368396272	0.268455362532107	0.295596957007035	0.151544350216201	0.246466081083308
ABHD12B	Other	-0.453634468978268	-0.404602863202683	-0.344640503236482	-0.242439815895813	-0.333423126546075	-0.246929160751613
ABHD13	Other	0.491590336930828	0.584508099604943	0.472067664954137	0.43984371366709	0.845169645101419	0.677698270811658
ABHD14A	Other	0.316557746635256	0.4300863383409	0.465419170156861	0.449970878272569	0.304786908116223	0.411197528702354
ABHD14B	Other	-0.351845646138445	-0.287559624115447	-0.304340478639667	-0.37438191706803	-0.427588038880543	-0.425708367282299
ABHD15	Other	-1.02730587559301	-1.05029572524967	-0.679111884060424	-0.687938274306459	-0.776042541778801	-0.821314872447396
