Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2
ABCB5	Other	0.087394456921436	0.132612474943476	0.216180441432587
ABCB6	Other	-0.0924234298464808	-0.140714121295942	-0.135228441906183
ABCB7	Other	0.0266733691985921	-0.0718286776191514	-0.348097529364483
ABCB8	Other	0.174922709503752	0.140542192057622	0.254467289342247
ABCB9	Other	-0.0143273256943147	0.120067185200369	0.128639878430893
ABCC1	Other	-0.0782915314382802	0.071099420322068	-0.0597332222273468
ABCC10	Other	0.0261333116286126	-0.0890963121906932	-0.0834328628061604
ABCC11	Other	0.0365678212555776	0.0914581907356433	0.0767905339821535
ABCC12	Other	0.117783245506992	0.112683050706416	0.117907205345194
ABCC2	Other	0.0195260334466827	-0.111889648353352	-0.0593487175916825
ABCC3	Other	0.0269295434341029	0.0538739664626999	0.081525959647242
ABCC4	Other	0.0411109518179756	-0.0361484729170147	0.0786919221713256
ABCC5	Other	0.149848566652633	0.249975078777551	0.334000544741939
ABCC6	Other	-0.10386228806813	-0.147657930893053	0.0459433204945195
ABCC8	Other	-0.105308878449868	0.0569645279965625	-0.0278639039617757
ABCC9	Other	0.0189188753216898	0.138191411998563	-0.0660325988128666
ABCD1	Other	-0.130208365272244	-0.04291432186897	0.109508416503841
ABCD2	Other	-0.0287689772848804	0.151256110922125	0.0141153001409932
ABCD3	Other	-0.0881512830934186	0.0799891058730688	-0.0993665228736431
ABCD4	Other	-0.143840609028054	-0.133262974265968	-0.166130496519794
ABCE1	Other	-0.0229853595216388	0.0340951336925726	-0.0234267855244864
ABCF1	Other	-0.122913579127212	-0.201128844224987	-0.188112495876231
ABCF2	Other	-0.117839563774504	-0.0420328404130188	-0.0517425664113235
ABCF3	Other	0.0742322676422134	-0.082355420905934	0.139539877539977
ABCG1	Other	-0.483721218486075	-0.531747929979145	-0.510022708313425
ABCG2	Other	0.0812404947738566	0.320241466508987	0.190741094847995
ABCG4	Other	0.0422235920453609	0.0168612155096294	0.0525877441907214
ABCG5	Other	0.0454072141799955	0.0933553344865717	0.182830842571461
ABCG8	Nonessential	-0.131870024104881	-0.0869669002761038	-0.100374216123034
ABHD1	Other	-0.050746712943682	-0.13946675122365	0.0531077356462351
ABHD10	Other	-0.114048848059215	-0.0452731141645464	-0.219908593264302
ABHD11	Other	-0.561586666254378	-0.493836772333043	-0.703181146214649
ABHD12	Other	-0.05770077235204	0.0398661585132578	0.00461697704757261
ABHD12B	Other	-0.0588874496776909	0.0667751721341847	0.00627866145294637
ABHD13	Other	-0.364379522127033	-0.246657875762123	-0.261243101225041
ABHD14A	Other	-0.0599335260495872	-0.167815677128862	-0.0702632216944843
ABHD14B	Other	-0.035771074551344	-0.126974499669996	-0.0831771597850965
ABHD15	Other	-0.147778286824735	-0.102654451185161	-0.0502016294617079
ABHD16A	Other	-0.0313542725154299	-0.158335435700326	-0.0954188899832237
ABHD16B	Other	-0.0442216829251561	0.0555627840705065	-0.170717716454791
ABHD17A	Other	-0.060853168427257	-0.10809551870465	-0.124154769089598
ABHD17B	Other	0.120363884370236	0.108562762493912	-0.0136399583516195
ABHD17C	Other	-0.000886965420709679	0.0420567011240983	-0.0218043508526434
ABHD2	Other	-0.136089777472291	-0.17113520604697	-0.103927895521117
ABHD3	Other	0.0636722523107496	0.13641682287882	0.0140153727674607
ABHD4	Other	0.0239042572579927	0.0252540607227654	0.0608794490236822
ABHD5	Other	-0.121762530792077	0.0305254397034027	-0.00785695304495793
ABHD6	Other	-0.179195041699289	-0.131056060182165	-0.107989084740683
ABHD8	Other	-0.0492199359048806	-0.106512034603803	-0.137911049776324
ABI1	Other	0.0423581552951074	0.0046175317023644	-0.274491679164883
ABI2	Other	0.172848965014205	0.0542657543961158	0.0471056566664446
ABI3	Other	-0.106880170352924	-0.0903038951774537	0.0778826440612609
ABI3BP	Other	0.0246262835212554	0.0368816943798085	0.0815420703288475
ABL1	Other	0.128542007872363	-0.0349840901022782	-0.012706258795227
ABL2	Other	-0.000177016625823034	0.0403079184762158	-0.0110297767731741
ABLIM1	Other	-0.177740314570905	0.0614302707928353	0.00879606525724033
ABLIM2	Other	0.155683249080281	-0.132212730089621	0.0121301776808158
ABLIM3	Other	0.0804057310441084	0.178964538774487	0.127245981847903
ABR	Other	-0.0200223180512958	0.00197950206846764	-0.00189991509119813
ABRA	Other	0.196812081383273	0.0821347699008866	0.102762662905517
ABRACL	Other	0.00671060167387383	0.0507491591265857	-0.0587399248730516
ABT1	Other	-0.131676484731882	-0.177670995738209	-0.125583158519697
ABTB1	Other	0.0165504015098614	0.0535671311657585	-0.044216288590189
ABTB2	Other	0.136829408979913	0.0418577823864401	0.106749223850964
ACAA1	Other	-0.167456187836679	-0.0102714771104101	0.0104513213715677
ACAA2	Other	-0.0232551591257294	0.0430195799361592	-0.0967100348320862
ACACA	Other	-0.0315023162668333	0.1139200675413	0.047602755202374
ACACB	Other	-0.140497688224341	-0.135645755920626	-0.125487763582022
ACAD10	Other	-0.0967297449212898	0.0170323531390702	-0.155223212826494
ACAD11	Other	-0.0828119359486175	0.0755494182499403	-0.0963763893331119
ACAD8	Other	0.394007622626274	0.377795353542389	0.227039099887603
ACAD9	Other	-0.19787529923958	0.0463392317480208	0.0204608872717114
ACADL	Other	0.104487470883078	0.0268615944765111	0.140730779410962
ACADM	Other	0.152270034050338	0.114221229666515	0.0488481282948021
ACADS	Other	-0.24003566121586	-0.134883638404062	-0.312428275832427
ACADSB	Other	-0.116786530856277	0.0521761671536726	-0.167333986285872
ACADVL	Other	0.057648719749153	0.132989529961157	-0.00570012914388568
ACAN	Other	0.150123063427708	-0.0212589816055805	-0.00493516056249265
ACAP1	Other	-0.162530226374992	-0.0226516192399944	0.131667059174164
ACAP2	Other	0.052568640937016	0.0768673555320463	0.0634173068711459
ACAP3	Other	0.0279115533527452	-0.103576775394007	0.0592337668403866
ACAT1	Other	0.0740567079870915	0.125783044232391	0.0869396461349886
ACAT2	Other	0.26750116898188	0.20416598610209	0.186011948854504
ACBD3	Other	-0.0464433928134923	-0.154423755331457	0.0243178733860934
ACBD4	Other	-0.0210993189179376	0.0061405501532755	0.0189896335248485
ACBD5	Other	0.0883006488804552	0.0742097587539811	0.00130205572304054
ACBD6	Other	-0.151473922712332	-0.0107875597439402	-0.0864710515935319
ACBD7	Other	0.102369857090931	0.166972506724334	0.062390468666822
ACCS	Other	0.399181692620627	0.269224565551643	0.281447386349435
ACCSL	Nonessential	-0.00138624551372097	0.129999594704866	-0.117230606542578
ACD	Other	-0.253523404817595	-0.106228583144217	-0.354838870475921
ACE	Other	0.0328307438782113	-0.126972874219578	0.235977133450815
ACE2	Other	0.0695643063400182	0.0515297614973651	0.0705992450505297
ACER1	Other	0.276033084587763	0.252080145182839	0.301746670882354
ACER2	Other	0.0660814738630135	0.153507677598786	-0.177583973052174
ACER3	Other	0.0792884860826315	0.104888890617385	-0.0402498206618903
ACHE	Other	-0.0980986974702659	-0.113074813302163	-0.167349167581052
ACIN1	Other	-0.0830116032694476	0.100606748955943	-0.132702571614411
ACKR1	Other	-0.19221995848864	-0.123700581996558	0.044748891339404
ACKR2	Other	0.122014323550999	0.184186561141811	0.147599403418175
ACKR3	Other	0.275343602125699	0.140656746015827	0.116140110168766
ACKR4	Other	-0.216021645652768	-0.188900927242414	-0.0357336966559268
ACLY	Other	0.100812363626754	0.0931364779664553	-0.0249977216548877
ACMSD	Other	-0.0343763311221683	0.0612127084246632	0.186836047196855
ACN9	Other	0.169752983984051	0.18085753991053	0.0233708623988462
ACO1	Other	0.0993107658190842	0.0497815884554157	0.0117744011280762
ACO2	Other	0.00851357134491793	-0.0527920661235585	-0.125346098644649
ACOT1	Other	0.0894697183896087	0.246724371815721	0.183844221456782
ACOT11	Other	0.137332904733677	0.0405722856691222	0.167509597236745
ACOT12	Other	-0.300270049178428	-0.164887079703305	-0.0847881049674974
ACOT13	Other	-0.0496035061776708	-0.121200466240918	-0.0511191021474977
ACOT2	Other	0.0759680826013236	0.150646854397403	0.0472543494273881
ACOT4	Other	0.10820653238987	-0.107646627699841	-0.0214245905370992
ACOT6	Other	-0.0205844229531068	0.0193334174965288	0.00612792986365779
ACOT7	Other	0.180611486506252	0.0759688417393026	0.16737120245994
ACOT8	Other	-0.0115562642189426	0.0832726245409382	0.183624210792386
ACOT9	Other	0.15371328328811	0.00680441235207868	0.174655521227096
ACOX1	Other	-0.0644932549196409	-0.122379933352999	-0.0045634891847971
ACOX2	Other	-0.028606850906276	0.0232089976821468	0.233608114891064
ACOX3	Other	-0.0191293308758531	0.11063546394455	0.0199412872317224
ACOXL	Other	-0.163767414422981	-0.203812772659872	-0.203365910143552
ACP1	Other	0.160105883029832	0.11402523456045	0.105086600553634
ACP2	Other	0.0735146345987403	-0.0396493048149048	-0.0829711171101034
ACP5	Other	0.0484493983161527	0.127376627153824	0.182255655940331
ACP6	Other	-0.204079707024362	-0.177122388678643	-0.151885304175017
ACPP	Other	0.0310086113039877	0.228379131479291	-0.0430316248089986
ACPT	Other	0.129047813119908	0.0811973589563166	0.093658813325065
ACR	Other	0.257508576212368	0.201627019492055	0.0708101310931032
ACRBP	Other	0.262637098076933	0.132333041837473	0.192310083203764
ACRC	Other	-0.0670958444422043	-0.00872814529974364	-0.159240894727631
ACRV1	Other	0.0300745643824589	0.142119804578315	0.141716571862436
ACSBG1	Other	0.0815259965765471	0.0623606753568711	0.250579818677585
