Gene	Category	CCK	pDNA
ACSM2A	Other	0.93695816412192	0.786645465517364
ACSM2B	Other	0.940091063713656	0.611488768585431
ACSM3	Other	0.344822032249757	0.385814865688844
ACSM4	Other	0.00415208127933961	-0.162080070742414
ACSM5	Other	-0.090046788209173	-0.305785632695747
ACSM6	Other	-0.0207361373310988	-0.149589973958551
ACSS1	Other	0.239758911685043	0.294135186124507
ACSS2	Other	0.0540071101195408	-0.0895792830538479
ACSS3	Other	0.370907206737111	0.371780356236771
ACTA1	Other	-0.484872649779969	-0.45057022764026
ACTA2	Other	0.740895125276603	0.683097126054409
ACTB	Other	0.00383647138801196	0.00891705408904363
ACTBL2	Other	0.194910087373045	0.219987158083627
ACTC1	Other	-0.212296002294196	-0.270620223825035
ACTG1	Other	-0.132289305298804	0.189577178396171
ACTG2	Other	0.0167105155172436	-0.015159421470753
ACTL10	Other	0.69070720683337	0.661333806640778
ACTL6A	Other	0.378663257473292	0.637266987639927
ACTL6B	Other	0.175724737211269	0.218755484364721
ACTL7A	Nonessential	-0.230533912290317	-0.00231310648407962
ACTL7B	Nonessential	-0.660443846059259	-0.532786756353102
ACTL8	Other	-0.329619886841572	-0.392196198323652
ACTL9	Nonessential	0.167067658929652	0.0105449614162087
ACTN1	Other	-0.0776237836398116	-0.0973110822019377
ACTN2	Other	-0.693904884485723	-0.505981689180483
ACTN4	Other	0.40752877151012	0.559995633262335
ACTR10	Other	0.383447967378545	0.440472172026497
ACTR1A	Other	0.278589093936691	0.56930733535961
ACTR1B	Other	0.211287426589639	0.41570576380781
ACTR2	Other	-0.664445154972113	-0.262341110435321
ACTR3	Other	1.07321403934696	1.15339234184508
ACTR3B	Other	0.248120829651281	0.147194515271
ACTR3C	Other	0.12547638721306	0.142645364550465
ACTR5	Other	0.235187446286911	0.221738924452367
ACTR6	Other	0.433840898269073	0.512810033377671
ACTR8	Other	0.353481699409069	0.639448178596503
ACTRT1	Nonessential	0.0623654815690126	0.0862425858349587
ACTRT2	Other	0.290530645597667	0.0977201913066559
