Gene	Category	CCK-81-311cas9 Rep A p2	CCK-81-311cas9 Rep B p2	CCK-81-311cas9 Rep C p2	pDNA_0	pDNA_2
ABAT	Other	-0.232931250756504	0.0127698083268667	-0.0582723997772935	-0.083001335498271	-0.0888761445994559
ABCA1	Other	0.73659546012786	0.64151455387137	0.59922731306328	0.641680475638658	0.739482227289729
ABCA10	Other	-0.25643832356698	-0.343008250602743	-0.183530033396269	-0.300826396367506	-0.321816096948229
ABCA12	Other	-0.594645606846544	-0.326722097236565	-0.515748092574605	-0.30322707273139	-0.432978743037524
ABCA13	Other	0.582068125566631	0.507730014458897	0.339838387977435	0.533064349102807	0.529959074349731
ABCA2	Other	0.406208037493817	0.465915938075397	0.508479963118429	0.310170713104859	0.413600497341063
ABCA3	Other	0.332677538238573	0.478745627491673	0.198012011633817	0.318542164335826	0.324639038049665
ABCA4	Other	0.0139526538465841	0.170809171791439	-0.036994555684164	0.11104057772142	0.0173722654596414
ABCA5	Other	0.0736198613303854	-0.052481401939058	0.0863773462201952	0.182851187007053	0.0507036931414669
ABCA6	Other	0.184185645416111	0.244364212862438	0.168261756566281	0.0765936452943636	0.0982048005130847
ABCA7	Other	-0.344316900538093	-0.500999765418097	-0.403151900674293	-0.490840180496331	-0.401244917650177
ABCA8	Other	-0.228450616053788	-0.125684598634882	-0.157789086492231	-0.122697981260386	-0.226433711675183
ABCA9	Other	0.886864729029337	1.02209037377626	0.930106019845956	0.93047189533828	0.871044328388217
ABCB1	Other	0.518077016985159	0.550658388271308	0.579467339042953	0.554997951638337	0.510275223642649
ABCB10	Other	-0.766411783476899	-0.866436888717683	-0.931161253893352	-0.465417190983852	-0.700380907888866
ABCB11	Other	0.399452416392417	0.2739156612892	0.433744655302274	0.452890102389599	0.4981270593554
ABCB4	Other	-0.195440889254282	-0.0413293401463675	-0.0719438925677303	-0.0625775634075259	-0.0982901386104468
ABCB5	Other	1.10661476165378	1.15183277967582	1.23540074616493	0.981255330362473	1.05718527910221
ABCB6	Other	-0.112185893983558	-0.160476585433019	-0.15499090604326	0.0161504830560419	-0.0556754113301956
ABCB7	Other	-0.333077141988374	-0.431579188806118	-0.70784804055145	-0.379928007116566	-0.339573015257367
ABCB8	Other	0.051611348499082	0.0172308310529519	0.131155928337578	-0.0958772798898385	-0.150745442119501
ABCB9	Other	0.412007380579781	0.546401891474465	0.554974584704989	0.401051889876509	0.451617522671683
ABCC1	Other	0.418364433784167	0.567755385544515	0.4369227429951	0.485918958889471	0.507392971555423
ABCC10	Other	0.0608552886147677	-0.0543743352045382	-0.0487108858200053	-0.00627757715017669	0.0757215311224869
ABCC11	Other	-0.144345590338003	-0.0894552208579372	-0.104122877611427	-0.128313410914963	-0.233513412272198
ABCC12	Other	0.790689866776259	0.785589671975683	0.790813826614461	0.71346250978593	0.632350732752604
ABCC2	Other	0.846722727383415	0.715307045583381	0.76784797634505	0.913652390075793	0.740740997797672
ABCC3	Other	0.788758743546949	0.815703166575546	0.843355159760088	0.674505471095275	0.849152929130417
ABCC4	Other	-0.220413277062894	-0.297672701797885	-0.182832306709544	-0.185392027425857	-0.337656430335883
ABCC5	Other	0.248052649488073	0.348179161612991	0.43220462757738	0.0693249443959632	0.127083221274918
ABCC6	Other	-0.881095873957194	-0.924891516782116	-0.731290265394544	-0.768631790512456	-0.785835381265671
ABCC8	Other	-0.0164278797533608	0.14584552669307	0.0610170947347319	0.122775375933336	0.0549866214596794
ABCC9	Other	1.02626555856414	1.14553809524101	0.941314084429581	0.934294484207324	1.08039888227757
