sgRNA,Gene,Category
GHRH-2,GHRH,Other
GHRH-3,GHRH,Other
GHRH-4,GHRH,Other
GHRHR-1,GHRHR,Other
GHRHR-2,GHRHR,Other
GHRHR-3,GHRHR,Other
GHRHR-4,GHRHR,Other
GHSR-1,GHSR,Other
GHSR-2,GHSR,Other
GHSR-3,GHSR,Other
GHSR-4,GHSR,Other
GIF-1,GIF,Other
GIF-2,GIF,Other
GIF-3,GIF,Other
GIF-4,GIF,Other
GIP-1,GIP,Other
GIP-2,GIP,Other
GIP-3,GIP,Other
GIP-4,GIP,Other
GIPR-1,GIPR,Other
GIPR-2,GIPR,Other
GIPR-3,GIPR,Other
GIPR-4,GIPR,Other
GJA1-1,GJA1,Other
GJA1-2,GJA1,Other
GJA1-3,GJA1,Other
GJA1-4,GJA1,Other
GJA3-1,GJA3,Other
GJA3-2,GJA3,Other
GJA3-3,GJA3,Other
GJA3-4,GJA3,Other
GJA4-1,GJA4,Other
GJA4-2,GJA4,Other
GJA4-3,GJA4,Other
GJA4-4,GJA4,Other
GJA5-1,GJA5,Other
GJA5-2,GJA5,Other
GJA5-3,GJA5,Other
GJA5-4,GJA5,Other
GJA8-1,GJA8,Other
GJA8-2,GJA8,Other
GJA8-3,GJA8,Other
GJA8-4,GJA8,Other
GJB1-1,GJB1,Other
GJB1-2,GJB1,Other
GJB1-3,GJB1,Other
GJB1-4,GJB1,Other
GJB2-1,GJB2,Other
GJB2-2,GJB2,Other
GJB2-3,GJB2,Other
GJB2-4,GJB2,Other
GJB3-1,GJB3,Other
GJB3-2,GJB3,Other
GJB3-3,GJB3,Other
GJB3-4,GJB3,Other
GJB5-1,GJB5,Other
GJB5-2,GJB5,Other
GJB5-3,GJB5,Other
GJB5-4,GJB5,Other
GK-1,GK,Other
GK-2,GK,Other
GK-3,GK,Other
GK-4,GK,Other
GK2-1,GK2,Other
GK2-2,GK2,Other
GK2-3,GK2,Other
GK2-4,GK2,Other
GLA-1,GLA,Other
GLA-2,GLA,Other
GLA-3,GLA,Other
GLA-4,GLA,Other
GPC3-1,GPC3,Other
GPC3-2,GPC3,Other
GPC3-3,GPC3,Other
GPC3-4,GPC3,Other
GLB1-1,GLB1,Other
GLB1-2,GLB1,Other
GLB1-3,GLB1,Other
GLB1-4,GLB1,Other
GCLC-1,GCLC,Other
GCLC-2,GCLC,Other
GCLC-3,GCLC,Other
GCLC-4,GCLC,Other
GCLM-1,GCLM,Other
GCLM-2,GCLM,Other
GCLM-3,GCLM,Other
GCLM-4,GCLM,Other
GLDC-1,GLDC,Other
GLDC-2,GLDC,Other
GLDC-3,GLDC,Other
GLDC-4,GLDC,Other
GLE1-1,GLE1,Other
GLE1-2,GLE1,Other
GLE1-3,GLE1,Other
GLE1-4,GLE1,Other
GLG1-1,GLG1,Other
GLG1-2,GLG1,Other
GLG1-3,GLG1,Other
GLG1-4,GLG1,Other
GLI1-1,GLI1,Other
GLI1-2,GLI1,Other
GLI1-3,GLI1,Other
GLI1-4,GLI1,Other
GLI2-1,GLI2,Other
GLI2-2,GLI2,Other
GLI2-3,GLI2,Other
GLI2-4,GLI2,Other
GLI3-1,GLI3,Other
GLI3-2,GLI3,Other
GLI3-3,GLI3,Other
GLI3-4,GLI3,Other
GLI4-1,GLI4,Other
GLI4-2,GLI4,Other
GLI4-3,GLI4,Other
GLI4-4,GLI4,Other
GLO1-1,GLO1,Other
GLO1-2,GLO1,Other
GLO1-3,GLO1,Other
GLO1-4,GLO1,Other
GLP1R-1,GLP1R,Other
GLP1R-2,GLP1R,Other
GLP1R-3,GLP1R,Other
GLP1R-4,GLP1R,Other
GLRA1-1,GLRA1,Other
GLRA1-2,GLRA1,Other
GLRA1-3,GLRA1,Other
GLRA1-4,GLRA1,Other
GLRA2-1,GLRA2,Other
GLRA2-2,GLRA2,Other
GLRA2-3,GLRA2,Other
GLRA2-4,GLRA2,Other
GLRB-1,GLRB,Other
GLRB-2,GLRB,Other
GLRB-3,GLRB,Other
GLRB-4,GLRB,Other
GLS-1,GLS,Other
GLS-2,GLS,Other
GLS-3,GLS,Other
GLS-4,GLS,Other
GLRX-1,GLRX,Other
GLRX-2,GLRX,Other
GLRX-3,GLRX,Other
GLRX-4,GLRX,Other
GLUD1-1,GLUD1,Other
GLUD1-2,GLUD1,Other
GLUD1-3,GLUD1,Other
GLUD1-4,GLUD1,Other
GLUD2-1,GLUD2,Other
GLUD2-2,GLUD2,Other
GLUD2-3,GLUD2,Other
GLUD2-4,GLUD2,Other
GLUL-1,GLUL,Other
GLUL-2,GLUL,Other
GLUL-3,GLUL,Other
GLUL-4,GLUL,Other
GM2A-1,GM2A,Other
GM2A-2,GM2A,Other
GM2A-3,GM2A,Other
GM2A-4,GM2A,Other
GMDS-1,GMDS,Other
GMDS-2,GMDS,Other
GMDS-3,GMDS,Other
GMDS-4,GMDS,Other
GMFB-1,GMFB,Other
GMFB-2,GMFB,Other
GMFB-3,GMFB,Other
GMFB-4,GMFB,Other
GML-1,GML,Other
GML-2,GML,Other
GML-3,GML,Other
GML-4,GML,Other
GMPR-1,GMPR,Other
GMPR-2,GMPR,Other
GMPR-3,GMPR,Other
GMPR-4,GMPR,Other
GNA11-1,GNA11,Other
GNA11-2,GNA11,Other
GNA11-3,GNA11,Other
GNA11-4,GNA11,Other
GNA12-1,GNA12,Other
GNA12-2,GNA12,Other
GNA12-3,GNA12,Other
GNA12-4,GNA12,Other
GNA15-1,GNA15,Other
GNA15-2,GNA15,Other
GNA15-3,GNA15,Other
GNA15-4,GNA15,Other
GNAI1-1,GNAI1,Other
GNAI1-2,GNAI1,Other
GNAI1-3,GNAI1,Other
GNAI1-4,GNAI1,Other
GNAI2-1,GNAI2,Other
GNAI2-2,GNAI2,Other
GNAI2-3,GNAI2,Other
GNAI2-4,GNAI2,Other
GNAI3-1,GNAI3,Other
GNAI3-2,GNAI3,Other
GNAI3-3,GNAI3,Other
GNAI3-4,GNAI3,Other
GNAL-1,GNAL,Other
GNAL-2,GNAL,Other
GNAL-3,GNAL,Other
GNAL-4,GNAL,Other
GNAO1-1,GNAO1,Other
GNAO1-2,GNAO1,Other
GNAO1-3,GNAO1,Other
GNAO1-4,GNAO1,Other
GNAQ-1,GNAQ,Other
GNAQ-2,GNAQ,Other
GNAQ-3,GNAQ,Other
GNAQ-4,GNAQ,Other
GNAS-1,GNAS,Other
GNAS-2,GNAS,Other
GNAS-3,GNAS,Other
GNAS-4,GNAS,Other
GNAT1-1,GNAT1,Other
GNAT1-2,GNAT1,Other
GNAT1-3,GNAT1,Other
GNAT1-4,GNAT1,Other
GNAT2-1,GNAT2,Other
GNAT2-2,GNAT2,Other
GNAT2-3,GNAT2,Other
GNAT2-4,GNAT2,Other
GNAZ-1,GNAZ,Other
GNAZ-2,GNAZ,Other
GNAZ-3,GNAZ,Other
GNAZ-4,GNAZ,Other
GNB1-1,GNB1,Other
GNB1-2,GNB1,Other
GNB1-3,GNB1,Other
GNB1-4,GNB1,Other
GNB2-1,GNB2,Other
GNB2-2,GNB2,Other
GNB2-3,GNB2,Other
GNB2-4,GNB2,Other
GNB3-1,GNB3,Other
GNB3-2,GNB3,Other
GNB3-3,GNB3,Other
GNB3-4,GNB3,Other
GNG3-1,GNG3,Other
GNG3-2,GNG3,Other
GNG3-3,GNG3,Other
GNG3-4,GNG3,Other
GNG4-1,GNG4,Other
GNG4-2,GNG4,Other
GNG4-3,GNG4,Other
GNG4-4,GNG4,Other
GNG5-1,GNG5,Other
GNG5-2,GNG5,Other
GNG5-3,GNG5,Other
GNG5-4,GNG5,Other
GNG7-1,GNG7,Other
GNG7-2,GNG7,Other
GNG7-3,GNG7,Other
GNG7-4,GNG7,Other
GNG10-1,GNG10,Other
GNG10-2,GNG10,Other
GNG10-3,GNG10,Other
GNG10-4,GNG10,Other
GNG11-1,GNG11,Other
GNG11-2,GNG11,Other
GNG11-3,GNG11,Other
GNG11-4,GNG11,Other
GNGT1-1,GNGT1,Other
GNGT1-2,GNGT1,Other
GNGT1-3,GNGT1,Other
GNGT1-4,GNGT1,Other
GNGT2-1,GNGT2,Other
GNGT2-2,GNGT2,Other
GNGT2-3,GNGT2,Other
GNGT2-4,GNGT2,Other
GNL1-1,GNL1,Other
GNL1-2,GNL1,Other
GNL1-3,GNL1,Other
GNL1-4,GNL1,Other
GNRH1-1,GNRH1,Other
GNRH1-2,GNRH1,Other
GNRH1-3,GNRH1,Other
GNRH1-4,GNRH1,Other
GNRH2-1,GNRH2,Other
GNRH2-2,GNRH2,Other
GNRH2-3,GNRH2,Other
GNRH2-4,GNRH2,Other
GNRHR-1,GNRHR,Other
GNRHR-2,GNRHR,Other
GNRHR-3,GNRHR,Other
GNRHR-4,GNRHR,Other
GNS-1,GNS,Other
GNS-2,GNS,Other
GNS-3,GNS,Other
GNS-4,GNS,Other
GOLGA1-1,GOLGA1,Other
GOLGA1-2,GOLGA1,Other
GOLGA1-3,GOLGA1,Other
GOLGA1-4,GOLGA1,Other
GOLGA2-1,GOLGA2,Other
GOLGA2-2,GOLGA2,Other
GOLGA2-3,GOLGA2,Other
GOLGA2-4,GOLGA2,Other
GOLGA3-1,GOLGA3,Other
GOLGA3-2,GOLGA3,Other
GOLGA3-3,GOLGA3,Other
GOLGA3-4,GOLGA3,Other
GOLGA4-1,GOLGA4,Other
GOLGA4-2,GOLGA4,Other
GOLGA4-3,GOLGA4,Other
GOLGA4-4,GOLGA4,Other
GOLGB1-1,GOLGB1,Other
GOLGB1-2,GOLGB1,Other
GOLGB1-3,GOLGB1,Other
GOLGB1-4,GOLGB1,Other
GOT1-1,GOT1,Other
GOT1-2,GOT1,Other
GOT1-3,GOT1,Other
GOT1-4,GOT1,Other
GOT2-1,GOT2,Other
GOT2-2,GOT2,Other
GOT2-3,GOT2,Other
GOT2-4,GOT2,Other
SFN-1,SFN,Other
SFN-2,SFN,Other
SFN-3,SFN,Other
SFN-4,SFN,Other
GP1BA-1,GP1BA,Other
GP1BA-2,GP1BA,Other
GP1BA-3,GP1BA,Other
GP1BA-4,GP1BA,Other
GP1BB-1,GP1BB,Other
GP1BB-2,GP1BB,Other
GP1BB-3,GP1BB,Other
GP1BB-4,GP1BB,Other
GP2-1,GP2,Other
GP2-2,GP2,Other
GP2-3,GP2,Other
GP2-4,GP2,Other
GP5-1,GP5,Other
GP5-2,GP5,Other
GP5-3,GP5,Other
GP5-4,GP5,Other
GP9-1,GP9,Other
GP9-2,GP9,Other
GP9-3,GP9,Other
GP9-4,GP9,Other
GPC1-1,GPC1,Other
GPC1-2,GPC1,Other
GPC1-3,GPC1,Other
GPC1-4,GPC1,Other
GPD1-1,GPD1,Other
GPD1-2,GPD1,Other
GPD1-3,GPD1,Other
GPD1-4,GPD1,Other
GPD2-1,GPD2,Other
GPD2-2,GPD2,Other
GPD2-3,GPD2,Other
GPD2-4,GPD2,Other
GPI-1,GPI,Other
GPI-2,GPI,Other
GPI-3,GPI,Other
GPI-4,GPI,Other
GPLD1-1,GPLD1,Other
GPLD1-2,GPLD1,Other
GPLD1-3,GPLD1,Other
GPLD1-4,GPLD1,Other
GPM6A-1,GPM6A,Other
GPM6A-2,GPM6A,Other
GPM6A-3,GPM6A,Other
GPM6A-4,GPM6A,Other
GPM6B-1,GPM6B,Other
GPM6B-2,GPM6B,Other
GPM6B-3,GPM6B,Other
GPM6B-4,GPM6B,Other
GPR1-1,GPR1,Other
GPR1-2,GPR1,Other
GPR1-3,GPR1,Other
GPR1-4,GPR1,Other
CCR10-1,CCR10,Other
CCR10-2,CCR10,Other
CCR10-3,CCR10,Other
CCR10-4,CCR10,Other
GPR3-1,GPR3,Other
GPR3-2,GPR3,Other
GPR3-3,GPR3,Other
GPR3-4,GPR3,Other
GPR4-1,GPR4,Other
GPR4-2,GPR4,Other
GPR4-3,GPR4,Other
GPR4-4,GPR4,Other
XCR1-1,XCR1,Other
XCR1-2,XCR1,Other
XCR1-3,XCR1,Other
XCR1-4,XCR1,Other
GPR6-1,GPR6,Other
GPR6-2,GPR6,Other
GPR6-3,GPR6,Other
GPR6-4,GPR6,Other
NPBWR1-1,NPBWR1,Other
NPBWR1-2,NPBWR1,Other
NPBWR1-3,NPBWR1,Other
NPBWR1-4,NPBWR1,Other
NPBWR2-1,NPBWR2,Other
NPBWR2-2,NPBWR2,Other
NPBWR2-3,NPBWR2,Other
NPBWR2-4,NPBWR2,Other
CXCR3-1,CXCR3,Other
CXCR3-2,CXCR3,Other
CXCR3-3,CXCR3,Other
CXCR3-4,CXCR3,Other
PRLHR-1,PRLHR,Other
PRLHR-2,PRLHR,Other
PRLHR-3,PRLHR,Other
PRLHR-4,PRLHR,Other
GPR12-1,GPR12,Other
GPR12-2,GPR12,Other
GPR12-3,GPR12,Other
GPR12-4,GPR12,Other
UTS2R-1,UTS2R,Other
UTS2R-2,UTS2R,Other
UTS2R-3,UTS2R,Other
UTS2R-4,UTS2R,Other
GPR15-1,GPR15,Other
GPR15-2,GPR15,Other
GPR15-3,GPR15,Other
GPR15-4,GPR15,Other
GPR17-1,GPR17,Other
GPR17-2,GPR17,Other
GPR17-3,GPR17,Other
GPR17-4,GPR17,Other
GPR18-1,GPR18,Other
GPR18-2,GPR18,Other
GPR18-3,GPR18,Other
GPR18-4,GPR18,Other
GPR19-1,GPR19,Other
GPR19-2,GPR19,Other
GPR19-3,GPR19,Other
GPR19-4,GPR19,Other
GPR20-1,GPR20,Other
GPR20-2,GPR20,Other
GPR20-3,GPR20,Other
GPR20-4,GPR20,Other
GPR21-1,GPR21,Other
GPR21-2,GPR21,Other
GPR21-3,GPR21,Other
GPR21-4,GPR21,Other
GPR22-1,GPR22,Other
GPR22-2,GPR22,Other
GPR22-3,GPR22,Other
GPR22-4,GPR22,Other
LPAR4-1,LPAR4,Other
LPAR4-2,LPAR4,Other
LPAR4-3,LPAR4,Other
LPAR4-4,LPAR4,Other
MCHR1-1,MCHR1,Other
MCHR1-2,MCHR1,Other
MCHR1-3,MCHR1,Other
MCHR1-4,MCHR1,Other
GPR25-1,GPR25,Other
GPR25-2,GPR25,Other
GPR25-3,GPR25,Other
GPR25-4,GPR25,Other
GPR26-1,GPR26,Other
GPR26-2,GPR26,Other
GPR26-3,GPR26,Other
GPR26-4,GPR26,Other
GPR27-1,GPR27,Other
GPR27-2,GPR27,Other
GPR27-3,GPR27,Other
GPR27-4,GPR27,Other
GPER1-1,GPER1,Other
GPER1-2,GPER1,Other
GPER1-3,GPER1,Other
GPER1-4,GPER1,Other
GPR31-1,GPR31,Other
GPR31-2,GPR31,Other
GPR31-3,GPR31,Other
GPR31-4,GPR31,Other
GPR32-1,GPR32,Other
GPR32-2,GPR32,Other
GPR32-3,GPR32,Other
GPR32-4,GPR32,Other
GPR33-1,GPR33,Other
GPR33-2,GPR33,Other
GPR33-3,GPR33,Other
GPR33-4,GPR33,Other
GPR34-1,GPR34,Other
GPR34-2,GPR34,Other
GPR34-3,GPR34,Other
GPR34-4,GPR34,Other
GPR35-1,GPR35,Other
GPR35-2,GPR35,Other
GPR35-3,GPR35,Other
GPR35-4,GPR35,Other
GPR37-1,GPR37,Other
GPR37-2,GPR37,Other
GPR37-3,GPR37,Other
GPR37-4,GPR37,Other
MLNR-1,MLNR,Other
MLNR-2,MLNR,Other
MLNR-3,MLNR,Other
MLNR-4,MLNR,Other
GPR39-1,GPR39,Other
GPR39-2,GPR39,Other
GPR39-3,GPR39,Other
GPR39-4,GPR39,Other
FFAR1-1,FFAR1,Other
FFAR1-2,FFAR1,Other
FFAR1-3,FFAR1,Other
FFAR1-4,FFAR1,Other
FFAR3-1,FFAR3,Other
FFAR3-2,FFAR3,Other
FFAR3-3,FFAR3,Other
FFAR3-4,FFAR3,Other
FFAR2-1,FFAR2,Other
FFAR2-2,FFAR2,Other
FFAR2-3,FFAR2,Other
FFAR2-4,FFAR2,Other
GRK4-1,GRK4,Other
GRK4-2,GRK4,Other
GRK4-3,GRK4,Other
GRK4-4,GRK4,Other
GRK5-1,GRK5,Other
GRK5-2,GRK5,Other
GRK5-3,GRK5,Other
GRK5-4,GRK5,Other
GRK6-1,GRK6,Other
GRK6-2,GRK6,Other
GRK6-3,GRK6,Other
GRK6-4,GRK6,Other
MKNK2-1,MKNK2,Other
MKNK2-2,MKNK2,Other
MKNK2-3,MKNK2,Other
MKNK2-4,MKNK2,Other
GPS1-1,GPS1,Other
GPS1-2,GPS1,Other
GPS1-3,GPS1,Other
GPS1-4,GPS1,Other
GPS2-1,GPS2,Other
GPS2-2,GPS2,Other
GPS2-3,GPS2,Other
GPS2-4,GPS2,Other
GPT-1,GPT,Other
GPT-2,GPT,Other
GPT-3,GPT,Other
GPT-4,GPT,Other
GPX1-1,GPX1,Other
GPX1-2,GPX1,Other
GPX1-3,GPX1,Other
GPX1-4,GPX1,Other
GPX2-1,GPX2,Other
GPX2-2,GPX2,Other
GPX2-3,GPX2,Other
GPX2-4,GPX2,Other
GPX3-1,GPX3,Other
GPX3-2,GPX3,Other
GPX3-3,GPX3,Other
GPX3-4,GPX3,Other
GPX4-1,GPX4,Other
GPX4-2,GPX4,Other
GPX4-3,GPX4,Other
GPX4-4,GPX4,Other
GPX5-1,GPX5,Other
GPX5-2,GPX5,Other
GPX5-3,GPX5,Other
GPX5-4,GPX5,Other
GPX7-1,GPX7,Other
GPX7-2,GPX7,Other
GPX7-3,GPX7,Other
GPX7-4,GPX7,Other
GRB2-1,GRB2,Other
GRB2-2,GRB2,Other
GRB2-3,GRB2,Other
GRB2-4,GRB2,Other
GRB7-1,GRB7,Other
GRB7-2,GRB7,Other
GRB7-3,GRB7,Other
GRB7-4,GRB7,Other
GRB10-1,GRB10,Other
GRB10-2,GRB10,Other
GRB10-3,GRB10,Other
GRB10-4,GRB10,Other
GRB14-1,GRB14,Other
GRB14-2,GRB14,Other
GRB14-3,GRB14,Other
GRB14-4,GRB14,Other
RAPGEF1-1,RAPGEF1,Other
RAPGEF1-2,RAPGEF1,Other
RAPGEF1-3,RAPGEF1,Other
RAPGEF1-4,RAPGEF1,Other
GRIA1-1,GRIA1,Other
GRIA1-2,GRIA1,Other
GRIA1-3,GRIA1,Other
GRIA1-4,GRIA1,Other
GRIA2-1,GRIA2,Other
GRIA2-2,GRIA2,Other
GRIA2-3,GRIA2,Other
GRIA2-4,GRIA2,Other
GRIA3-1,GRIA3,Other
GRIA3-2,GRIA3,Other
GRIA3-3,GRIA3,Other
GRIA3-4,GRIA3,Other
GRIA4-1,GRIA4,Other
GRIA4-2,GRIA4,Other
GRIA4-3,GRIA4,Other
GRIA4-4,GRIA4,Other
GRID1-1,GRID1,Other
GRID1-2,GRID1,Other
GRID1-3,GRID1,Other
GRID1-4,GRID1,Other
GRID2-1,GRID2,Other
GRID2-2,GRID2,Other
GRID2-3,GRID2,Other
GRID2-4,GRID2,Other
GRN-1,GRN,Other
GRN-2,GRN,Other
GRN-3,GRN,Other
GRN-4,GRN,Other
GRIK1-1,GRIK1,Other
GRIK1-2,GRIK1,Other
GRIK1-3,GRIK1,Other
GRIK1-4,GRIK1,Other
GRIK2-1,GRIK2,Other
GRIK2-2,GRIK2,Other
GRIK2-3,GRIK2,Other
GRIK2-4,GRIK2,Other
GRIK3-1,GRIK3,Other
GRIK3-2,GRIK3,Other
GRIK3-3,GRIK3,Other
GRIK3-4,GRIK3,Other
GRIK4-1,GRIK4,Other
GRIK4-2,GRIK4,Other
GRIK4-3,GRIK4,Other
GRIK4-4,GRIK4,Other
GRIK5-1,GRIK5,Other
GRIK5-2,GRIK5,Other
GRIK5-3,GRIK5,Other
GRIK5-4,GRIK5,Other
GRIN1-1,GRIN1,Other
GRIN1-2,GRIN1,Other
GRIN1-3,GRIN1,Other
GRIN1-4,GRIN1,Other
GRIN2A-1,GRIN2A,Other
GRIN2A-2,GRIN2A,Other
GRIN2A-3,GRIN2A,Other
GRIN2A-4,GRIN2A,Other
GRIN2B-1,GRIN2B,Other
GRIN2B-2,GRIN2B,Other
GRIN2B-3,GRIN2B,Other
GRIN2B-4,GRIN2B,Other
GRIN2C-1,GRIN2C,Other
GRIN2C-2,GRIN2C,Other
GRIN2C-3,GRIN2C,Other
GRIN2C-4,GRIN2C,Other
GRIN2D-1,GRIN2D,Other
GRIN2D-2,GRIN2D,Other
GRIN2D-3,GRIN2D,Other
GRIN2D-4,GRIN2D,Other
GRINA-1,GRINA,Other
GRINA-2,GRINA,Other
GRINA-3,GRINA,Other
GRINA-4,GRINA,Other
NR3C1-1,NR3C1,Other
NR3C1-2,NR3C1,Other
NR3C1-3,NR3C1,Other
NR3C1-4,NR3C1,Other
ARHGAP35-1,ARHGAP35,Other
ARHGAP35-2,ARHGAP35,Other
ARHGAP35-3,ARHGAP35,Other
ARHGAP35-4,ARHGAP35,Other
GRM1-1,GRM1,Other
GRM1-2,GRM1,Other
GRM1-3,GRM1,Other
GRM1-4,GRM1,Other
GRM2-1,GRM2,Other
GRM2-2,GRM2,Other
GRM2-3,GRM2,Other
GRM2-4,GRM2,Other
GRM3-1,GRM3,Other
GRM3-2,GRM3,Other
GRM3-3,GRM3,Other
GRM3-4,GRM3,Other
GRM4-1,GRM4,Other
GRM4-2,GRM4,Other
GRM4-3,GRM4,Other
GRM4-4,GRM4,Other
GRM5-1,GRM5,Other
GRM5-2,GRM5,Other
GRM5-3,GRM5,Other
GRM5-4,GRM5,Other
GRM6-1,GRM6,Other
GRM6-2,GRM6,Other
GRM6-3,GRM6,Other
GRM6-4,GRM6,Other
GRM7-1,GRM7,Other
GRM7-2,GRM7,Other
GRM7-3,GRM7,Other
GRM7-4,GRM7,Other
GRM8-1,GRM8,Other
GRM8-2,GRM8,Other
GRM8-3,GRM8,Other
GRM8-4,GRM8,Other
CXCL1-1,CXCL1,Other
CXCL1-2,CXCL1,Other
CXCL1-3,CXCL1,Other
CXCL1-4,CXCL1,Other
CXCL2-1,CXCL2,Other
CXCL2-2,CXCL2,Other
CXCL2-3,CXCL2,Other
CXCL2-4,CXCL2,Other
CXCL3-1,CXCL3,Other
CXCL3-2,CXCL3,Other
CXCL3-3,CXCL3,Other
CXCL3-4,CXCL3,Other
GRP-1,GRP,Other
GRP-2,GRP,Other
GRP-3,GRP,Other
GRP-4,GRP,Other
PDIA3-1,PDIA3,Other
PDIA3-2,PDIA3,Other
PDIA3-3,PDIA3,Other
PDIA3-4,PDIA3,Other
GRPR-1,GRPR,Other
GRPR-2,GRPR,Other
GRPR-3,GRPR,Other
GRPR-4,GRPR,Other
GRSF1-1,GRSF1,Other
GRSF1-2,GRSF1,Other
GRSF1-3,GRSF1,Other
GRSF1-4,GRSF1,Other
GSC2-1,GSC2,Other
GSC2-2,GSC2,Other
GSC2-3,GSC2,Other
GSC2-4,GSC2,Other
GSK3A-1,GSK3A,Other
GSK3A-2,GSK3A,Other
GSK3A-3,GSK3A,Other
GSK3A-4,GSK3A,Other
GSK3B-1,GSK3B,Other
GSK3B-2,GSK3B,Other
GSK3B-3,GSK3B,Other
GSK3B-4,GSK3B,Other
GSN-1,GSN,Other
GSN-2,GSN,Other
GSN-3,GSN,Other
GSN-4,GSN,Other
GSPT1-1,GSPT1,Other
GSPT1-2,GSPT1,Other
GSPT1-3,GSPT1,Other
GSPT1-4,GSPT1,Other
GSR-1,GSR,Other
GSR-2,GSR,Other
GSR-3,GSR,Other
GSR-4,GSR,Other
GSS-1,GSS,Other
GSS-2,GSS,Other
GSS-3,GSS,Other
GSS-4,GSS,Other
GSTA1-1,GSTA1,Other
GSTA1-2,GSTA1,Other
GSTA1-3,GSTA1,Other
GSTA1-4,GSTA1,Other
GSTA2-1,GSTA2,Other
GSTA2-2,GSTA2,Other
GSTA2-3,GSTA2,Other
GSTA2-4,GSTA2,Other
GSTA3-1,GSTA3,Other
GSTA3-2,GSTA3,Other
GSTA3-3,GSTA3,Other
GSTA3-4,GSTA3,Other
GSTA4-1,GSTA4,Other
GSTA4-2,GSTA4,Other
GSTA4-3,GSTA4,Other
GSTA4-4,GSTA4,Other
GSTM1-1,GSTM1,Other
GSTM1-2,GSTM1,Other
GSTM1-3,GSTM1,Other
GSTM1-4,GSTM1,Other
GSTM2-1,GSTM2,Other
GSTM2-2,GSTM2,Other
GSTM2-3,GSTM2,Other
GSTM2-4,GSTM2,Other
GSTM3-1,GSTM3,Other
GSTM3-2,GSTM3,Other
GSTM3-3,GSTM3,Other
GSTM3-4,GSTM3,Other
GSTM4-1,GSTM4,Other
GSTM4-2,GSTM4,Other
GSTM4-3,GSTM4,Other
GSTM4-4,GSTM4,Other
GSTM5-1,GSTM5,Other
GSTM5-2,GSTM5,Other
GSTM5-3,GSTM5,Other
GSTM5-4,GSTM5,Other
GSTP1-1,GSTP1,Other
GSTP1-2,GSTP1,Other
GSTP1-3,GSTP1,Other
GSTP1-4,GSTP1,Other
GSTZ1-1,GSTZ1,Other
GSTZ1-2,GSTZ1,Other
GSTZ1-3,GSTZ1,Other
GSTZ1-4,GSTZ1,Other
MSH6-1,MSH6,Other
MSH6-2,MSH6,Other
MSH6-3,MSH6,Other
MSH6-4,MSH6,Other
GTF2A1-1,GTF2A1,Other
GTF2A1-2,GTF2A1,Other
GTF2A1-3,GTF2A1,Other
GTF2A1-4,GTF2A1,Other
GTF2A2-1,GTF2A2,Other
GTF2A2-2,GTF2A2,Other
GTF2A2-3,GTF2A2,Other
GTF2A2-4,GTF2A2,Other
GTF2B-1,GTF2B,Other
GTF2B-2,GTF2B,Other
GTF2B-3,GTF2B,Other
GTF2B-4,GTF2B,Other
GTF2E1-1,GTF2E1,Other
GTF2E1-2,GTF2E1,Other
GTF2E1-3,GTF2E1,Other
GTF2E1-4,GTF2E1,Other
GTF2E2-1,GTF2E2,Other
GTF2E2-2,GTF2E2,Other
GTF2E2-3,GTF2E2,Other
GTF2E2-4,GTF2E2,Other
GTF2F1-1,GTF2F1,Other
GTF2F1-2,GTF2F1,Other
GTF2F1-3,GTF2F1,Other
GTF2F1-4,GTF2F1,Other
GTF2F2-1,GTF2F2,Other
GTF2F2-2,GTF2F2,Other
GTF2F2-3,GTF2F2,Other
GTF2F2-4,GTF2F2,Other
GTF2H1-1,GTF2H1,Other
GTF2H1-2,GTF2H1,Other
GTF2H1-3,GTF2H1,Other
GTF2H1-4,GTF2H1,Other
GTF2H2-1,GTF2H2,Other
GTF2H2-2,GTF2H2,Other
GTF2H2-3,GTF2H2,Other
GTF2H2-4,GTF2H2,Other
GTF2H3-1,GTF2H3,Other
GTF2H3-2,GTF2H3,Other
GTF2H3-3,GTF2H3,Other
GTF2H3-4,GTF2H3,Other
GTF2H4-1,GTF2H4,Other
GTF2H4-2,GTF2H4,Other
GTF2H4-3,GTF2H4,Other
GTF2H4-4,GTF2H4,Other
GTF2I-1,GTF2I,Other
GTF2I-2,GTF2I,Other
GTF2I-3,GTF2I,Other
GTF2I-4,GTF2I,Other
GTF3A-1,GTF3A,Other
GTF3A-2,GTF3A,Other
GTF3A-3,GTF3A,Other
GTF3A-4,GTF3A,Other
BRF1-1,BRF1,Other
BRF1-2,BRF1,Other
BRF1-3,BRF1,Other
BRF1-4,BRF1,Other
GTF3C1-1,GTF3C1,Other
GTF3C1-2,GTF3C1,Other
GTF3C1-3,GTF3C1,Other
GTF3C1-4,GTF3C1,Other
GTF3C2-1,GTF3C2,Other
GTF3C2-2,GTF3C2,Other
GTF3C2-3,GTF3C2,Other
GTF3C2-4,GTF3C2,Other
GUCY1A2-1,GUCY1A2,Other
GUCY1A2-2,GUCY1A2,Other
GUCY1A2-3,GUCY1A2,Other
GUCY1A2-4,GUCY1A2,Other
GUCA1A-1,GUCA1A,Other
GUCA1A-2,GUCA1A,Other
GUCA1A-3,GUCA1A,Other
GUCA1A-4,GUCA1A,Other
GUCA1B-1,GUCA1B,Other
GUCA1B-2,GUCA1B,Other
