Gene	Category	CCK_biased	CCK_biased.1	CCK	Z	P(-)	FDR(-)	P(+)	FDR(+)	P(replicates)	FDR(replicates)	P(sgRNAs)	FDR(sgRNAs)
ABCA3	Other	0.0148877912619421	0.0148877912619421	0.0170387395515061	NA	NA	NA	NA	NA	0.985884253076396	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA4	Other	-0.0149506649392443	-0.0149506649392443	-0.0132824675301137	NA	NA	NA	NA	NA	0.985791373789558	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA5	Other	-0.0809388382037522	-0.0809388382037522	-0.0826627830516382	NA	NA	NA	NA	NA	0.979952890026794	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA6	Other	0.111537982044553	0.111537982044553	0.11204287500817	NA	NA	NA	NA	NA	0.988656513005838	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA7	Other	0.0298863601964262	0.0298863601964262	0.029194181900867	NA	NA	NA	NA	NA	0.992057292418978	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA8	Other	0.00392441274081683	0.00392441274081683	0.00425105261329616	NA	NA	NA	NA	NA	0.994262578468121	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCA9	Other	0.0455955956872685	0.0455955956872685	0.0460790806974319	NA	NA	NA	NA	NA	0.993577567929611	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB1	Other	0.0167643271259803	0.0167643271259803	0.0167005441900851	NA	NA	NA	NA	NA	0.998064083733331	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB10	Other	-0.271770925926285	-0.271770925926285	-0.272257182649074	NA	NA	NA	NA	NA	0.994584921007363	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB11	Other	-0.106471003211202	-0.106471003211202	-0.108718719694711	NA	NA	NA	NA	NA	0.976230051550235	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB4	Other	-0.0224708563138068	-0.0224708563138068	-0.022305156454443	NA	NA	NA	NA	NA	0.998129784755041	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB5	Other	0.145395791099167	0.145395791099167	0.144056443766195	NA	NA	NA	NA	NA	0.980619092998187	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB6	Other	-0.122788664349535	-0.122788664349535	-0.122976597527427	NA	NA	NA	NA	NA	0.99368064818827	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB7	Other	-0.131084279261681	-0.131084279261681	-0.129580922720529	NA	NA	NA	NA	NA	0.992818509552875	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB8	Other	0.189977396967874	0.189977396967874	0.188500557005848	NA	NA	NA	NA	NA	0.975764371608242	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCB9	Other	0.0781265793123155	0.0781265793123155	0.0779136238709936	NA	NA	NA	NA	NA	0.997543426179449	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC1	Other	-0.022308444447853	-0.022308444447853	-0.0213437306396352	NA	NA	NA	NA	NA	0.989095645070328	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC10	Other	-0.048798621122747	-0.048798621122747	-0.048987429786111	NA	NA	NA	NA	NA	0.997349147767034	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC11	Other	0.0682721819911248	0.0682721819911248	0.0682703231802053	NA	NA	NA	NA	NA	0.999939646490704	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC12	Other	0.116124500519534	0.116124500519534	0.116137851703307	NA	NA	NA	NA	NA	0.995804232722943	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC2	Other	-0.0505707774994507	-0.0505707774994507	-0.0513222818463192	NA	NA	NA	NA	NA	0.989746430408801	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC3	Other	0.0541098231813483	0.0541098231813483	0.0539279829808634	NA	NA	NA	NA	NA	0.993760703752223	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC4	Other	0.0278848003574288	0.0278848003574288	0.0270145217797344	NA	NA	NA	NA	NA	0.986403821111524	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC6	Other	-0.0685256328222211	-0.0685256328222211	-0.0704775298933854	NA	NA	NA	NA	NA	0.982490062853359	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC8	Other	-0.0254027514716938	-0.0254027514716938	-0.0249153410802263	NA	NA	NA	NA	NA	0.994477885172751	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCC9	Other	0.030359229502462	0.030359229502462	0.0315825130389107	NA	NA	NA	NA	NA	0.989040050971141	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCD1	Other	-0.0212047568791245	-0.0212047568791245	-0.0223297809859918	NA	NA	NA	NA	NA	0.991438885129448	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCD2	Other	0.045534144592746	0.045534144592746	0.0463793351696226	NA	NA	NA	NA	NA	0.991769423179584	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCD3	Other	-0.035842900031331	-0.035842900031331	-0.0343558207573502	NA	NA	NA	NA	NA	0.986352281313109	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCD4	Other	-0.147744693271272	-0.147744693271272	-0.147551083476498	NA	NA	NA	NA	NA	0.987923675831018	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCE1	Other	-0.00410567045118423	-0.00410567045118423	-0.00365925973232376	NA	NA	NA	NA	NA	0.987523209551308	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCF1	Other	-0.170718306409477	-0.170718306409477	-0.171542563499761	NA	NA	NA	NA	NA	0.982543734280552	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCF2	Other	-0.0705383235329486	-0.0705383235329486	-0.0706156751392623	NA	NA	NA	NA	NA	0.99826074987241	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCF3	Other	0.0438055747587523	0.0438055747587523	0.0419558247158956	NA	NA	NA	NA	NA	0.985151803988543	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCG1	Other	-0.508497285592882	-0.508497285592882	-0.509335431679436	NA	NA	NA	NA	NA	0.974151767601934	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCG2	Other	0.197407685376946	0.197407685376946	0.198347586440453	NA	NA	NA	NA	NA	0.992887226168651	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCG4	Other	0.0372241839152372	0.0372241839152372	0.0370096166000952	NA	NA	NA	NA	NA	0.989258813714522	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCG5	Other	0.107197797079343	0.107197797079343	0.106091481799858	NA	NA	NA	NA	NA	0.985123548355493	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABCG8	Nonessential	-0.10640371350134	-0.10640371350134	-0.106325241090779	NA	NA	NA	NA	NA	0.996783520677245	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
ABHD1	Other	-0.0457019095070323	-0.0457019095070323	-0.0474414988777029	NA	NA	NA	NA	NA	0.983607422214693	0.999999925471851	2.78587228447099e-07	2.78602906719846e-07
